season,season_type,bucket,qb_id,qb,team,games,n,epa,epa2,succ,cpoe,cpoe_n,sacks,ints,tds,att,comp
2021,POST,q3,00-0036972,M.Jones,NE,1,11,2.3194652253878303,70.48494863463097,5.0,55.65958023071289,10,0.0,1.0,1.0,11.0,7.0
2021,POST,q3,00-0022924,B.Roethlisberger,PIT,1,9,1.9984024744480848,42.59564061250678,5.0,275.81726610660553,9,0.0,0.0,1.0,9.0,9.0
2021,POST,q3,00-0034857,J.Allen,BUF,2,8,12.728303053998388,53.65813433355078,6.0,270.218825340271,8,0.0,0.0,2.0,8.0,8.0
2021,POST,q3,00-0023459,A.Rodgers,GB,1,6,-0.8774409756297246,4.430017674997452,2.0,54.482269287109375,5,0.0,0.0,0.0,6.0,4.0
2021,POST,q3,00-0035228,K.Murray,ARI,1,6,6.924269297393039,20.111353667898566,5.0,133.11895728111267,5,0.0,0.0,0.0,5.0,5.0
2021,POST,q3,00-0029701,R.Tannehill,TEN,1,5,-0.8888287290308314,60.775423956886755,2.0,39.75860774517059,5,0.0,1.0,1.0,5.0,3.0
2021,POST,q3,00-0031235,O.Beckham,LA,1,1,2.278346930164844,5.1908647341915675,1.0,63.504037261009216,1,0.0,0.0,0.0,1.0,1.0
2021,POST,q3,00-0033908,C.Kupp,LA,1,1,-1.5157049462529928,2.297361484095788,0.0,-69.08655762672424,1,0.0,0.0,0.0,1.0,0.0
2021,POST,q4,00-0026498,M.Stafford,LA,4,39,10.486376469473438,62.64717462369745,22.0,101.59890353679657,36,2.0,0.0,2.0,38.0,25.0
2021,POST,q4,00-0036442,J.Burrow,CIN,4,36,-4.08849732774706,68.71389028068768,18.0,29.697686433792114,30,4.0,1.0,0.0,34.0,22.0
2021,POST,q4,00-0019596,T.Brady,TB,2,25,-9.375456869689515,92.02387768364378,10.0,51.270392537117004,22,3.0,0.0,1.0,25.0,15.0
2021,POST,q4,00-0033873,P.Mahomes,KC,3,24,-0.904607495481689,68.62193365394336,11.0,-66.65091514587402,16,5.0,0.0,1.0,22.0,11.0
2021,POST,q4,00-0034857,J.Allen,BUF,2,23,19.288975684510778,77.0102265927014,14.0,139.009590446949,20,1.0,0.0,4.0,22.0,13.0
2021,POST,q4,00-0022924,B.Roethlisberger,PIT,1,22,0.06097730546025559,25.30702100841134,11.0,65.28777480125427,21,1.0,0.0,1.0,22.0,15.0
2021,POST,q4,00-0031280,D.Carr,LV,1,22,0.8968005826148628,41.03505299278689,7.0,-251.57679617404938,20,1.0,1.0,0.0,22.0,10.0
2021,POST,q4,00-0031345,J.Garoppolo,SF,3,21,-8.326456957962364,80.19725234011955,7.0,-341.2298023700714,19,0.0,2.0,0.0,20.0,11.0
2021,POST,q4,00-0033077,D.Prescott,DAL,1,18,-1.711899019795755,28.76233895818551,8.0,-121.11306041479111,16,1.0,0.0,0.0,17.0,9.0
2021,POST,q4,00-0036389,J.Hurts,PHI,1,14,9.385929826807232,23.968228808934292,9.0,90.09470790624619,11,1.0,0.0,1.0,13.0,7.0
2021,POST,q4,00-0035228,K.Murray,ARI,1,12,-2.928342643484939,12.430468473678289,6.0,-149.56501424312592,12,0.0,0.0,0.0,12.0,7.0
2021,POST,q4,00-0036972,M.Jones,NE,1,12,3.6809144861472305,41.66539453508035,5.0,34.16987955570221,10,1.0,0.0,1.0,12.0,7.0
2021,POST,q4,00-0023459,A.Rodgers,GB,1,9,-4.234276736785793,6.660143012427831,1.0,-70.35312056541443,7,2.0,0.0,0.0,9.0,4.0
2021,POST,q4,00-0029701,R.Tannehill,TEN,1,6,0.5429431817028672,5.107889888660215,3.0,88.63029479980469,6,0.0,1.0,0.0,6.0,5.0
2021,POST,q4,00-0029692,B.Anger,DAL,1,1,3.856170532060787,14.870051172333973,1.0,35.11138558387756,1,0.0,0.0,0.0,1.0,1.0
2021,POST,q4,00-0030506,T.Kelce,KC,1,1,0.70204556841054,0.4928679801248782,1.0,42.53831505775452,1,0.0,0.0,1.0,1.0,1.0
2021,REG,all,00-0019596,T.Brady,TB,17,750,141.1359989999203,1658.2761161933222,384.0,1190.7260954380035,704,22.0,12.0,43.0,740.0,485.0
2021,REG,all,00-0036355,J.Herbert,LAC,17,745,127.58136309033219,2067.9275229939985,375.0,-404.35798168182373,657,31.0,15.0,38.0,709.0,443.0
2021,REG,all,00-0033873,P.Mahomes,KC,17,733,157.78980074979347,1663.8327960182494,387.0,1657.6109260320663,620,28.0,13.0,37.0,687.0,436.0
2021,REG,all,00-0034857,J.Allen,BUF,17,721,120.84243800176037,1557.870576632517,369.0,1287.8992140293121,614,26.0,15.0,36.0,675.0,409.0
2021,REG,all,00-0031280,D.Carr,LV,17,683,27.148191501149565,1741.1675154226766,317.0,1320.6026077270508,601,40.0,14.0,23.0,666.0,428.0
2021,REG,all,00-0036971,T.Lawrence,JAX,17,668,-59.91200039364243,1536.7653913472773,296.0,-2788.8467997312546,581,32.0,17.0,12.0,636.0,359.0
2021,REG,all,00-0033077,D.Prescott,DAL,16,651,112.16245462938159,1401.7424462608092,327.0,1356.095278263092,586,30.0,10.0,37.0,631.0,410.0
2021,REG,all,00-0022924,B.Roethlisberger,PIT,16,649,-44.9954722817656,1476.3401775366456,257.0,-1426.3214960694313,596,38.0,10.0,22.0,646.0,390.0
2021,REG,all,00-0026498,M.Stafford,LA,17,642,121.74215111523591,1839.6943080428782,323.0,-69.58371847867966,596,30.0,17.0,41.0,634.0,404.0
2021,REG,all,00-0026143,M.Ryan,ATL,17,618,-20.539758688513942,1603.9157237761922,284.0,953.5060971975327,542,40.0,12.0,20.0,601.0,375.0
2021,REG,all,00-0029604,K.Cousins,MIN,16,602,66.0243018821845,1450.704739251579,273.0,725.0964418053627,537,28.0,7.0,33.0,587.0,372.0
2021,REG,all,00-0029701,R.Tannehill,TEN,17,597,35.88522844115265,1515.2757938770314,296.0,1225.9584069252014,519,47.0,14.0,21.0,578.0,357.0
2021,REG,all,00-0036442,J.Burrow,CIN,16,591,101.35008365070217,2008.5995856965346,289.0,3359.994362294674,506,51.0,14.0,34.0,571.0,366.0
2021,REG,all,00-0032950,C.Wentz,IND,17,578,13.684786658209525,1471.6126211370315,259.0,-1054.0140554308891,497,32.0,7.0,27.0,552.0,322.0
2021,REG,all,00-0023459,A.Rodgers,GB,16,576,140.16406048928246,1273.9450027869036,295.0,2943.9315423369408,510,30.0,4.0,37.0,559.0,366.0
2021,REG,all,00-0031800,T.Heinicke,WAS,16,572,-29.838724211640475,1418.9589054200476,255.0,143.3399349451065,480,38.0,15.0,20.0,532.0,321.0
2021,REG,all,00-0036972,M.Jones,NE,17,565,38.29646351005787,1483.528127137185,275.0,1217.3006772994995,511,28.0,13.0,22.0,550.0,352.0
2021,REG,all,00-0035228,K.Murray,ARI,14,543,74.80413904686229,1457.9933022819137,273.0,1942.5334200263023,461,31.0,10.0,24.0,514.0,333.0
